book,chapter,title,awoiaf
0,0,Prologue,A_Game_of_Thrones-Prologue
0,1,Bran I,A_Game_of_Thrones-Chapter_1
0,2,Catelyn I,A_Game_of_Thrones-Chapter_2
0,3,Daenerys I,A_Game_of_Thrones-Chapter_3
0,4,Eddard I,A_Game_of_Thrones-Chapter_4
0,5,Jon I,A_Game_of_Thrones-Chapter_5
0,6,Catelyn II,A_Game_of_Thrones-Chapter_6
0,7,Arya I,A_Game_of_Thrones-Chapter_7
0,8,Bran II,A_Game_of_Thrones-Chapter_8
0,9,Tyrion I,A_Game_of_Thrones-Chapter_9
0,10,Jon II,A_Game_of_Thrones-Chapter_10
0,11,Daenerys II,A_Game_of_Thrones-Chapter_11
0,12,Eddard II,A_Game_of_Thrones-Chapter_12
0,13,Tyrion II,A_Game_of_Thrones-Chapter_13
0,14,Catelyn III,A_Game_of_Thrones-Chapter_14
0,15,Sansa I,A_Game_of_Thrones-Chapter_15
0,16,Eddard III,A_Game_of_Thrones-Chapter_16
0,17,Bran III,A_Game_of_Thrones-Chapter_17
0,18,Catelyn IV,A_Game_of_Thrones-Chapter_18
0,19,Jon III,A_Game_of_Thrones-Chapter_19
0,20,Eddard IV,A_Game_of_Thrones-Chapter_20
0,21,Tyrion III,A_Game_of_Thrones-Chapter_21
0,22,Arya II,A_Game_of_Thrones-Chapter_22
0,23,Daenerys III,A_Game_of_Thrones-Chapter_23
0,24,Bran IV,A_Game_of_Thrones-Chapter_24
0,25,Eddard V,A_Game_of_Thrones-Chapter_25
0,26,Jon IV,A_Game_of_Thrones-Chapter_26
0,27,Eddard VI,A_Game_of_Thrones-Chapter_27
0,28,Catelyn V,A_Game_of_Thrones-Chapter_28
0,29,Sansa II,A_Game_of_Thrones-Chapter_29
0,30,Eddard VII,A_Game_of_Thrones-Chapter_30
0,31,Tyrion IV,A_Game_of_Thrones-Chapter_31
0,32,Arya III,A_Game_of_Thrones-Chapter_32
0,33,Eddard VIII,A_Game_of_Thrones-Chapter_33
0,34,Catelyn VI,A_Game_of_Thrones-Chapter_34
0,35,Eddard IX,A_Game_of_Thrones-Chapter_35
0,36,Daenerys IV,A_Game_of_Thrones-Chapter_36
0,37,Bran V,A_Game_of_Thrones-Chapter_37
0,38,Tyrion V,A_Game_of_Thrones-Chapter_38
0,39,Eddard X,A_Game_of_Thrones-Chapter_39
0,40,Catelyn VII,A_Game_of_Thrones-Chapter_40
0,41,Jon V,A_Game_of_Thrones-Chapter_41
0,42,Tyrion VI,A_Game_of_Thrones-Chapter_42
0,43,Eddard XI,A_Game_of_Thrones-Chapter_43
0,44,Sansa III,A_Game_of_Thrones-Chapter_44
0,45,Eddard XII,A_Game_of_Thrones-Chapter_45
0,46,Daenerys V,A_Game_of_Thrones-Chapter_46
0,47,Eddard XIII,A_Game_of_Thrones-Chapter_47
0,48,Jon VI,A_Game_of_Thrones-Chapter_48
0,49,Eddard XIV,A_Game_of_Thrones-Chapter_49
0,50,Arya IV,A_Game_of_Thrones-Chapter_50
0,51,Sansa IV,A_Game_of_Thrones-Chapter_51
0,52,Jon VII,A_Game_of_Thrones-Chapter_52
0,53,Bran VI,A_Game_of_Thrones-Chapter_53
0,54,Daenerys VI,A_Game_of_Thrones-Chapter_54
0,55,Catelyn VIII,A_Game_of_Thrones-Chapter_55
0,56,Tyrion VII,A_Game_of_Thrones-Chapter_56
0,57,Sansa V,A_Game_of_Thrones-Chapter_57
0,58,Eddard XV,A_Game_of_Thrones-Chapter_58
0,59,Catelyn IX,A_Game_of_Thrones-Chapter_59
0,60,Jon VIII,A_Game_of_Thrones-Chapter_60
0,61,Daenerys VII,A_Game_of_Thrones-Chapter_61
0,62,Tyrion VIII,A_Game_of_Thrones-Chapter_62
0,63,Catelyn X,A_Game_of_Thrones-Chapter_63
0,64,Daenerys VIII,A_Game_of_Thrones-Chapter_64
0,65,Arya V,A_Game_of_Thrones-Chapter_65
0,66,Bran VII,A_Game_of_Thrones-Chapter_66
0,67,Sansa VI,A_Game_of_Thrones-Chapter_67
0,68,Daenerys IX,A_Game_of_Thrones-Chapter_68
0,69,Tyrion IX,A_Game_of_Thrones-Chapter_69
0,70,Jon IX,A_Game_of_Thrones-Chapter_70
0,71,Catelyn XI,A_Game_of_Thrones-Chapter_71
0,72,Daenerys X,A_Game_of_Thrones-Chapter_71
1,0,Prologue,A_Clash_of_Kings-Prologue
1,1,Arya I,A_Clash_of_Kings-Chapter_1
1,2,Sansa I,A_Clash_of_Kings-Chapter_2
1,3,Tyrion I,A_Clash_of_Kings-Chapter_3
1,4,Bran I,A_Clash_of_Kings-Chapter_4
1,5,Arya II,A_Clash_of_Kings-Chapter_5
1,6,Jon I,A_Clash_of_Kings-Chapter_6
1,7,Catelyn I,A_Clash_of_Kings-Chapter_7
1,8,Tyrion II,A_Clash_of_Kings-Chapter_8
1,9,Arya III,A_Clash_of_Kings-Chapter_9
1,10,Davos I,A_Clash_of_Kings-Chapter_10
1,11,Theon I,A_Clash_of_Kings-Chapter_11
1,12,Daenerys I,A_Clash_of_Kings-Chapter_12
1,13,Jon II,A_Clash_of_Kings-Chapter_13
1,14,Arya IV,A_Clash_of_Kings-Chapter_14
1,15,Tyrion III,A_Clash_of_Kings-Chapter_15
1,16,Bran II,A_Clash_of_Kings-Chapter_16
1,17,Tyrion IV,A_Clash_of_Kings-Chapter_17
1,18,Sansa II,A_Clash_of_Kings-Chapter_18
1,19,Arya V,A_Clash_of_Kings-Chapter_19
1,20,Tyrion V,A_Clash_of_Kings-Chapter_20
1,21,Bran III,A_Clash_of_Kings-Chapter_21
1,22,Catelyn II,A_Clash_of_Kings-Chapter_22
1,23,Jon III,A_Clash_of_Kings-Chapter_23
1,24,Theon II,A_Clash_of_Kings-Chapter_24
1,25,Tyrion VI,A_Clash_of_Kings-Chapter_25
1,26,Arya VI,A_Clash_of_Kings-Chapter_26
1,27,Daenerys II,A_Clash_of_Kings-Chapter_27
1,28,Bran IV,A_Clash_of_Kings-Chapter_28
1,29,Tyrion VII,A_Clash_of_Kings-Chapter_29
1,30,Arya VII,A_Clash_of_Kings-Chapter_30
1,31,Catelyn III,A_Clash_of_Kings-Chapter_31
1,32,Sansa III,A_Clash_of_Kings-Chapter_32
1,33,Catelyn IV,A_Clash_of_Kings-Chapter_33
1,34,Jon IV,A_Clash_of_Kings-Chapter_34
1,35,Bran V,A_Clash_of_Kings-Chapter_35
1,36,Tyrion VIII,A_Clash_of_Kings-Chapter_36
1,37,Theon III,A_Clash_of_Kings-Chapter_37
1,38,Arya VIII,A_Clash_of_Kings-Chapter_38
1,39,Catelyn V,A_Clash_of_Kings-Chapter_39
1,40,Daenerys III,A_Clash_of_Kings-Chapter_40
1,41,Tyrion IX,A_Clash_of_Kings-Chapter_41
1,42,Davos II,A_Clash_of_Kings-Chapter_42
1,43,Jon V,A_Clash_of_Kings-Chapter_43
1,44,Tyrion X,A_Clash_of_Kings-Chapter_44
1,45,Catelyn VI,A_Clash_of_Kings-Chapter_45
1,46,Bran VI,A_Clash_of_Kings-Chapter_46
1,47,Arya IX,A_Clash_of_Kings-Chapter_47
1,48,Daenerys IV,A_Clash_of_Kings-Chapter_48
1,49,Tyrion XI,A_Clash_of_Kings-Chapter_49
1,50,Theon IV,A_Clash_of_Kings-Chapter_50
1,51,Jon VI,A_Clash_of_Kings-Chapter_51
1,52,Sansa IV,A_Clash_of_Kings-Chapter_52
1,53,Jon VII,A_Clash_of_Kings-Chapter_53
1,54,Tyrion XII,A_Clash_of_Kings-Chapter_54
1,55,Catelyn VII,A_Clash_of_Kings-Chapter_55
1,56,Theon V,A_Clash_of_Kings-Chapter_56
1,57,Sansa V,A_Clash_of_Kings-Chapter_57
