key,name,letter,markerColor,letterColor,house,firstChapter,firstEpisode
Eddard_Stark,Eddard Stark,E,#505050,#FFFFFF,House_Stark,,
Catelyn_Stark,Catelyn Stark,C,#635C77,#FFFFFF,House_Stark,,
Robb_Stark,Robb Stark,R,#606060,#FFFFFF,House_Stark,,
Sansa_Stark,Sansa Stark,S,#707070,#FFFFFF,House_Stark,,
Bran_Stark,Bran Stark,B,#808080,#FFFFFF,House_Stark,,
Arya_Stark,Arya Stark,A,#909090,#FFFFFF,House_Stark,,
Rickon_Stark,Rickon Stark,r,#A0A0A0,#FFFFFF,House_Stark,,
Benjen_Stark,Benjen Stark,U,#B0B0B0,#FFFFFF,House_Stark,,
Jon_Snow,Jon Snow,J,#837171,#FFFFFF,House_Stark,,
Viserys_Targaryen,Viserys Targaryen,V,#000000,#FF0000,House_Targaryen,,
Daenerys_Targaryen,Daenerys Targaryen,D,#000000,#FF0000,House_Targaryen,,
Aegon_Targaryen,Aegon Targaryen,A,#000000,#FF0000,House_Targaryen,ADWD-18,never
Drogon,Drogon,d,#000000,#FF0000,,AGOT-72,S1E10
Rhaegal,Rhaegal,r,#000000,#FF0000,,AGOT-72,S1E10
Viserion,Viserion,v,#000000,#FF0000,,AGOT-72,S1E10
Tywin_Lannister,Tywin Lannister,T,#FF0000,#FFFF00,House_Lannister,,
Jaime_Lannister,Jaime Lannister,J,#D80000,#FFFF00,House_Lannister,,
Cersei_Lannister,Cersei Lannister,C,#B80000,#FFFF00,House_Lannister,,
Tyrion_Lannister,Tyrion Lannister,T,#A00000,#FFFF00,House_Lannister,,
Lancel_Lannister,Lancel Lannister,L,#900000,#FFFF00,House_Lannister,,
Joffrey_Baratheon,Joffrey Baratheon,j,#FF2700,#000000,House_Baratheon_of_King%27s_Landing,,
Myrcella_Baratheon,Myrcella Baratheon,m,#FF2700,#000000,House_Baratheon_of_King%27s_Landing,,
,Tommen Baratheon,t,#FF2700,#000000,House_Baratheon_of_King%27s_Landing,,
Robert_Baratheon,Robert Baratheon,R,#F3CD18,#000000,House_Baratheon,,
Stannis_Baratheon,Stannis Baratheon,S,#C68D14,#000000,House_Baratheon_of_Dragonstone,,
Renly_Baratheon,Renly Baratheon,r,#C6A714,#000000,House_Baratheon,,
Loras_Tyrell,Loras Tyrell,L,#006600,#FFFF00,House_Tyrell,,
Margaery_Tyrell,Margaery Tyrell,M,#027C02,#FFFF00,House_Tyrell,,
Olenna_Tyrell,Olenna Tyrell,O,#0D8F0D,#FFFF00,House_Tyrell,,
Theon_Greyjoy,Theon Greyjoy,T,#FF9700,#000000,House_Greyjoy,,
Asha_Greyjoy,Yara/Asha Greyjoy,Y,#E68801,#000000,House_Greyjoy,,
Euron_Greyjoy,Euron Greyjoy,E,#C67400,#000000,House_Greyjoy,,
Victarion_Greyjoy,Victarion Greyjoy,V,#D78004,#000000,House_Greyjoy,,
Brienne_of_Tarth,Brienne of Tarth,B,#FF00FF,#FFFFFF,House_Tarth,,
Davos,Davos Seaworth,D,#505050,#FFFFFF,House_Seaworth,,
Samwell_Tarly,Samwell Tarly,S,#006300,#000000,House_Tarly,,
Barristan_Selmy,Barristan Selmy,B,#A55D34,#FCFC06,House_Selmy,,
Petyr_Baelish,Petyr Baelish,P,#006300,#FFFFFF,House_Baelish,,
Jeor_Mormont,Jeor Mormont,J,#66C366,#000000,House_Mormont,,
Jorah_Mormont,Jorah Mormont,J,#66C366,#000000,House_Mormont,,
Arianne_Martell,Arianne Martell,A,#AD011B,#000000,House_Martell,0,never
Oberyn_Martell,Oberyn Martell,O,#96051A,#000000,House_Martell,,
Ellaria_Sand,Ellaria Sand,E,#942938,#000000,House_Martell,,
Sandor_Clegane,Sandor Clegane,S,#FCFF00,#2D2D2D,House_Clegane,,
Gregor_Clegane,Gregor Clegane,G,#EAED00,#2D2D2D,House_Clegane,,
Roose_Bolton,Roose Bolton,R,#E24334,#000000,House_Bolton,,
Ramsay_Snow,Ramsay Snow,r,#CA4133,#000000,House_Bolton,,
Gendry,Gendry,G,#FFD200,#000000,,,
Bronn,Bronn,B,#742296,#FFFFFF,,,
Melisandre,Melisandre,M,#FF0000,#FFFFFF,,,
Varys,Varys,V,#9D0083,#000000,,,
Qyburn,Qyburn,Q,#A639D3,#FFFFFF,,,
Osha,Osha,O,#0043BD,#FFFFFF,,,
Mance_Rayder,Mance Rayder,M,#3F7AE4,#FFFFFF,,,
Ygritte,Ygritte,Y,#4485FC,#FFFFFF,,,
Tormund,Tormund,T,#3B6FCF,#FFFFFF,,,
