wikiKey,seatKey,lat,lng,img,clue,isGreat,firstChapter,lastChapter,firstEpisode,lastEpisode
Night%27s_Watch,Castle_Black,,,http://awoiaf.westeros.org/images/thumb/4/47/Minigdn.png/109px-Minigdn.png,,TRUE,,,,
House_Stark,Winterfell,,,http://awoiaf.westeros.org/images/thumb/5/51/House_Stark.PNG/90px-House_Stark.PNG,,TRUE,0,118,0,14
House_Greyjoy,Winterfell,,,http://awoiaf.westeros.org/images/thumb/f/f3/Greyjoy_coat_sigil.png/120px-Greyjoy_coat_sigil.png,,TRUE,119,138,15,18
House_Bolton,Dreadfort,,,http://awoiaf.westeros.org/images/thumb/7/76/Bolton.png/50px-Bolton.png,,FALSE,0,195,0,18
House_Bolton,Dreadfort,,,http://awoiaf.westeros.org/images/thumb/7/76/Bolton.png/50px-Bolton.png,,TRUE,196,307,19,41
House_Bolton,Winterfell,,,http://awoiaf.westeros.org/images/thumb/7/76/Bolton.png/50px-Bolton.png,,TRUE,308,999,42,57
House_Bolton,Dreadfort,,,http://awoiaf.westeros.org/images/thumb/7/76/Bolton.png/50px-Bolton.png,,FALSE,308,999,42,99
House_Stark,Winterfell,,,http://awoiaf.westeros.org/images/thumb/5/51/House_Stark.PNG/90px-House_Stark.PNG,,TRUE,999,999,58,99
House_Tully,Riverrun,,,http://awoiaf.westeros.org/images/thumb/2/23/House_Tully.PNG/112px-House_Tully.PNG,,TRUE,0,137,0,99
House_Tully,Riverrun,,,http://awoiaf.westeros.org/images/thumb/2/23/House_Tully.PNG/112px-House_Tully.PNG,,FALSE,138,268,99,99
House_Baelish_of_Harrenhal,Harrenhal,,,http://awoiaf.westeros.org/images/thumb/1/13/House_Baelish.PNG/90px-House_Baelish.PNG,,TRUE,138,999,99,99
House_Arryn,Eyrie,,,http://awoiaf.westeros.org/images/thumb/b/be/House_Arryn.PNG/112px-House_Arryn.PNG,,TRUE,,,,
House_Greyjoy,Pyke,,,http://awoiaf.westeros.org/images/thumb/f/f3/Greyjoy_coat_sigil.png/120px-Greyjoy_coat_sigil.png,,TRUE,,,,
House_Lannister,Casterly_Rock,,,http://awoiaf.westeros.org/images/thumb/8/88/House_Lannister.png/102px-House_Lannister.png,,TRUE,,,,
House_Baratheon,King%27s_Landing,,,http://awoiaf.westeros.org/images/thumb/d/d1/House_Baratheon.PNG/50px-House_Baratheon.PNG,,TRUE,0,48,0,5
House_Baratheon_of_King%27s_Landing,King%27s_Landing,,,http://awoiaf.westeros.org/images/thumb/5/5d/Joffrey_sigil_coat.png/120px-Joffrey_sigil_coat.png,,TRUE,49,999,6,99
House_Tyrell,Highgarden,,,http://awoiaf.westeros.org/images/thumb/9/99/House_Tyrell.PNG/90px-House_Tyrell.PNG,,TRUE,,,,
House_Baratheon,Storm%27s_End,,,http://awoiaf.westeros.org/images/thumb/d/d1/House_Baratheon.PNG/50px-House_Baratheon.PNG,,TRUE,,,,
House_Martell,Sunspear,,,http://awoiaf.westeros.org/images/thumb/b/ba/House_Martell.PNG/92px-House_Martell.PNG,,TRUE,,,,
House_Baratheon_of_Dragonstone,Dragonstone,,,http://awoiaf.westeros.org/images/thumb/d/d1/House_Baratheon.PNG/50px-House_Baratheon.PNG,,FALSE,0,48,0,5
House_Baratheon_of_Dragonstone,Dragonstone,,,http://awoiaf.westeros.org/images/thumb/6/61/Baratheon_DS.png/102px-Baratheon_DS.png,,TRUE,49,260,6,99
House_Targaryen,Meereen,,,http://awoiaf.westeros.org/images/thumb/4/43/House_Targaryen.PNG/92px-House_Targaryen.PNG,,TRUE,214,999,99,99
House_Cerwyn,Castle_Cerwyn,,,http://awoiaf.westeros.org/images/thumb/d/d8/House_Cerwyn.PNG/90px-House_Cerwyn.PNG,,,,,,
House_Dustin,Barrowton,,,http://awoiaf.westeros.org/images/thumb/7/74/House_Dustin.PNG/50px-House_Dustin.PNG,,,,,,
House_Flint_of_Widow%27s_Watch,Widow%27s_Watch,,,http://awoiaf.westeros.org/images/thumb/e/e8/Flint_Widows_Watch.png/109px-Flint_Widows_Watch.png,,,,,,
House_Hornwood,Hornwood,,,http://awoiaf.westeros.org/images/thumb/0/01/House_Hornwood.PNG/50px-House_Hornwood.PNG,,,,,,
House_Karstark,Karhold,,,http://awoiaf.westeros.org/images/thumb/5/5f/House_Karstark.PNG/104px-House_Karstark.PNG,,,,,,
House_Locke,Oldcastle,,,http://awoiaf.westeros.org/images/thumb/9/9e/House_Locke.PNG/109px-House_Locke.PNG,,,,,,
House_Manderly,White_Harbor,,,http://awoiaf.westeros.org/images/thumb/8/83/House_Manderly.PNG/50px-House_Manderly.PNG,,,,,,
House_Mormont,,73.5657,-138.926,http://awoiaf.westeros.org/images/thumb/c/c9/House_Mormont.PNG/95px-House_Mormont.PNG,,,,,,
