key,firstChapter,lastChapter,firstEpisode,lastEpisode
Robert_Baratheon-1,AGOT-0,AGOT-46,S1E01,S1E06
Jeor_Mormont-1,AGOT-0,ASOS-33,S1E01,S3E03
Free_folk-1,AGOT-0,ASOS-72,S1E01,S4E08
Stannis_Baratheon-1,AGOT-47,AGOT-70,S1E07,S1E09
Stannis_Baratheon-2,AGOT-47,ASOS-35,S1E07,S6E10
Joffrey_Baratheon-1,AGOT-47,ASOS-59,S1E07,S4E01
Joffrey_Baratheon-2,AGOT-47,ACOK-34,S1E07,S4E01
Joffrey_Baratheon-3,AGOT-56,ACOK-6,S1E07,S4E01
Joffrey_Baratheon-4,AGOT-56,ACOK-6,S1E07,S4E01
Stannis_Baratheon-3,AGOT-59,AGOT-70,S1E09,S1E09
Stannis_Baratheon-4,AGOT-63,AGOT-70,,
Renly_Baratheon-1,AGOT-69,ACOK-32,S1E10,S6E10
Robb_Stark-1,AGOT-71,ACOK-45,S1E10,S6E10
Robb_Stark-2,AGOT-71,ACOK-6,S1E10,S6E10
Joffrey_Baratheon-5,ACOK-7,ACOK-46,S1E08,S4E01
Robb_Stark-3,ACOK-7,ACOK-46,,
Joffrey_Baratheon-6,ACOK-20,ASOS-59,,
Renly_Baratheon-2,ACOK-33,ACOK-44,,
Stannis_Baratheon-5,ACOK-33,ACOK-44,,
Stannis_Baratheon-6,ACOK-33,TWOW-???,,
Stannis_Baratheon-7,ACOK-33,ACOK-61,,
Robb_Stark-4,ACOK-35,ASOS-50,,
Joffrey_Baratheon-8,ACOK-35,ACOK-38,,
Robb_Stark-5,ACOK-39,ASOS-50,,
Joffrey_Baratheon-9,ACOK-39,ACOK-54,,
Stannis_Baratheon-8,ACOK-45,ACOK-61,,
Balon_Greyjoy-1,ACOK-46,ASOS-44,,
Balon_Greyjoy-2,ACOK-46,ACOK-65,,
Robb_Stark-6,ACOK-46,ACOK-49,,
Robb_Stark-7,ACOK-47,ACOK-63,,
Joffrey_Baratheon-10,ACOK-47,ACOK-63,,
Balon_Greyjoy-3,ACOK-50,ASOS-44,,
Balon_Greyjoy-4,ACOK-50,ASOS-44,,
Robb_Stark-8,ACOK-50,ACOK-65,,
Robb_Stark-9,ACOK-55,ASOS-50,,
Joffrey_Baratheon-11,ACOK-55,ASOS-50,,
Joffrey_Baratheon-12,ACOK-62,ASOS-59,,
Joffrey_Baratheon-12B,ACOK-62,ASOS-59,,
Stannis_Baratheon-9,ACOK-62,TWOW-???,,
Stannis_Baratheon-10,ACOK-62,TWOW-???,,
Stannis_Baratheon-11,ACOK-62,TWOW-???,,
Robb_Stark-10,ACOK-64,ASOS-13,,
Robb_Stark-11,ACOK-66,ASOS-50,,
Robb_Stark-12,ASOS-14,ASOS-50,,
Night%27s_Watch-1,ASOS-33,ASOS-78,,
Joffrey_Baratheon-13,ASOS-36,ASOS-59,,
Stannis_Baratheon-12,ASOS-36,TWOW-???,,
Kingsmoot-1,ASOS-45,AFFC-18,,
Kingsmoot-2,ASOS-45,AFFC-18,,
Kingsmoot-3,ASOS-45,AFFC-18,,
Joffrey_Baratheon-14,ASOS-51,ASOS-59,,
Joffrey_Baratheon-15,ASOS-51,ASOS-59,,
Joffrey_Baratheon-16,ASOS-51,ASOS-59,,
Free_folk-2,,,,
