character,town,clue,latitude,longitude,firstChapter,firstEpisode,isLost,isDead
Eddard_Stark,Winterfell,,,,AGOT-0,,,
Eddard_Stark,Execution_Holdfast,,,,AGOT-1,,,
Eddard_Stark,Winterfell,,,,AGOT-2,S1E01,,
Eddard_Stark,,A few days south of Winterfell,57.9848,-122.4023,AGOT-12,,,
Eddard_Stark,,The Trident,26.4312,-114.1406,AGOT-15,S1E02,,
Eddard_Stark,King%27s_Landing,,,,AGOT-20,S1E03,,
Eddard_Stark,King%27s_Landing,,,,AGOT-65,S1E09,,TRUE
Catelyn_Stark,Winterfell,,,,AGOT-0,S1E01,,
Catelyn_Stark,King%27s_Landing,,,,AGOT-18,S1E03,,
Catelyn_Stark,,,13.1115,-108.8671,AGOT-22,,,
Catelyn_Stark,Crossroads_Inn,,,,AGOT-28,S1E04,,
Catelyn_Stark,,Mountains of the Moon,27.4107,-104.9121,AGOT-31,,,
Catelyn_Stark,Eyrie,,,,AGOT-34,S1E05,,
Catelyn_Stark,Moat_Cailin,,,,AGOT-55,,,
Catelyn_Stark,Twins,,,,AGOT-59,,,
Catelyn_Stark,,The Whispering Wood,23.9661,-128.3642,AGOT-63,,,
Catelyn_Stark,Riverrun,,,,AGOT-71,S1E09,,
Catelyn_Stark,Bitterbridge,,,,ACOK-22,S2E03,,
Catelyn_Stark,,,,,,,,
Catelyn_Stark,Storm%27s_End,,,,ACOK-31,S2E04,,
Catelyn_Stark,Oxcross,,,,,S2E06,,
Catelyn_Stark,,The Westerlands,22.106,-134.6484,,S2E08,,
Catelyn_Stark,Harrenhal,,,,,S3E01,,
Catelyn_Stark,,travelling to Riverrun,21.6166,-122.0801,,S3E02,,
Catelyn_Stark,Riverrun,,,,ACOK-39,S3E03,,
Catelyn_Stark,,Hag's Mire,32.6578,-127.4121,ASOS-45,S3E07,,
Catelyn_Stark,Twins,,,,ASOS-49,,,
Catelyn_Stark,Twins,,,,ASOS-51,S3E09,,TRUE
Catelyn_Stark,Oldstones,,,,ASOS-81,,,TRUE
Catelyn_Stark,BWB_Hideout,,,,AFFC-42,,,TRUE
