key,region,latitude,longitude,title,awoiaf
Westwatch-by-the-Bridge,Numbered Locations,76.36226182,-117.6855469,1: Westwatch-by-the-Bridge,
Shadow_Tower,Numbered Locations,76.37261948,-116.5429688,2: Shadow Tower,
Sentinel_Stand,Numbered Locations,76.38296943,-115.1367188,3: Sentinel Stand,
Greyguard,Numbered Locations,76.31035754,-113.7744141,4: Greyguard,
Stonedoor,Numbered Locations,76.42429214,-112.4560547,5: Stonedoor,
Hoarfrost_Hill,Numbered Locations,76.39331166,-111.5332031,6: Hoarfrost Hill,
Icemark,Numbered Locations,76.37261948,-110.4345703,7: Icemark,
Nightfort,Numbered Locations,76.33114247,-109.5556641,8: Nightfort,
Deep_Lake,Numbered Locations,76.28954162,-108.8525391,9: Deep Lake,
Queensgate,Numbered Locations,76.27912202,-107.8857422,10: Queensgate,
Castle_Black,Gift,76.26869465,-106.6992188,11: Castle Black,
Oakenshield_(Wall),Gift,76.20596704,-105.7324219,12: Oakensheild,
Woodswatch-by-the-Pool,Gift,76.18499546,-104.8974609,13: Woodswatch-by-the-Pool,
Sable_Hall,Gift,76.16399262,-103.7109375,14: Sable Hall,
Rimegate,Gift,76.11134844,-102.4804688,15: Rimegate,
Long_Barrow,Gift,76.12189296,-101.6894531,16: Long Barrow,
Torches,Gift,76.06909176,-100.8105469,17: Torches,
Greenguard,Gift,76.03731658,-100.1513672,18: Greenguard,
Eastwatch-by-the-Sea,Gift,76.17449795,-99.53613281,19: Eastwatch-by-the-Sea,Eastwatch-by-the-Sea
BWB_Hideout,Riverlands,25.24469595,-117.8173828,20: Brotherhood Without Banners hideout,A_Feast_for_Crows-Chapter_42
Inn_of_the_Kneeling_Man,Riverlands,25.00597266,-122.2998047,21: Inn of the Kneeling Man,
Lord_Harroway%27s_Town,Riverlands,23.03929775,-114.4775391,22: Lord Harroway's Town,
They_Lay_With_Lions,Riverlands,23.40276491,-126.2548828,23: Inn (They Lay with Lions),A_Storm_of_Swords-Chapter_1
Unnamed_Village,Riverlands,22.59372606,-122.6953125,24: Unnamed village,
Lychester_Keep,Riverlands,21.94304553,-123.2666016,25: Lord Lychester's Keep,House_Lychester
Lady_of_the_Leaves,Riverlands,20.42701281,-125.4638672,26: Lady of the Leaves,
Sallydance,Riverlands,19.60119416,-124.8925781,27: Sallydance,
Goodbrook_Village,Riverlands,19.2696653,-123.046875,28: Lord Goodbrook's Village,House_Goodbrook#A_Song_of_Ice_and_Fire
Pennytree,Riverlands,20.22096578,-119.7949219,29: Pennytree,
Old_Stone_Bridge,Crownlands,5.790896813,-100.8105469,30: Old Stone Bridge Inn,
Lord_Hewett%27s_Town,The_Reach,-21.00247105,-150.0292969,31: Lord Hewett's Town,
Shandystone,Dorne,-42.45588764,-92.19726563,32: Shandystone,
Fist_of_the_First_Men,Beyond_the_Wall,78.27373666,-116.9311523,,
Craster%27s_Keep,Beyond_the_Wall,77.51837381,-111.5258789,,
Whitetree,Beyond_the_Wall,76.74543604,-109.5043945,,
Hardhome,Beyond_the_Wall,78.72061466,-97.15576172,,
Mole%27s_Town,Gift,76.00015574,-106.6918945,,
Queenscrown,Gift,75.22506492,-109.5043945,,
Last_Hearth,The_North,72.62025182,-104.6923828,,
Karhold,The_North,70.33353336,-88.16894531,,
Deepwood_Motte,The_North,70.18510275,-138.5302734,,
Dreadfort,The_North,67.42436395,-102.5830078,,
Tumbledown_Tower,The_North,67.75939813,-124.8193359,,
Winterfell,The_North,66.24916311,-123.3251953,,
Castle_Cerwyn,The_North,65.38514722,-123.3251953,,
Hornwood,The_North,63.52897054,-106.1865234,,
Stony_Shore,The_North,62.66405507,-160.0195313,,
Torrhen%27s_Square,The_North,62.89521754,-133.9599609,,
Ramsgate,The_North,58.83649009,-97.66113281,,
Widow%27s_Watch,The_North,57.72761922,-85.88378906,,
Barrowton,The_North,57.58655887,-136.5966797,,
White_Harbor,The_North,56.68037379,-114.0966797,,
Moat_Cailin,The_North,53.8784404,-122.3583984,,
Oldcastle,The_North,51.75424007,-109.5263672,,
Flint%27s_Finger,The_North,50.03597367,-148.7255859,,
Greywater_Watch,The_North,46.10370876,-124.6435547,,
Execution_Holdfast,The_North,66.54826346,-122.6220703,,A_Game_of_Thrones-Chapter_1
Crofters%27_village,The_North,66.58321726,-125.15625,,
Hornwood_Tower,The_North,65.09064558,-107.8564453,,Donella_Manderly
Sisterton,Vale_of_Arryn,49.35375572,-106.8896484,,
Coldwater_Burn,Vale_of_Arryn,45.05800144,-95.02441406,,
House_Baelish,Vale_of_Arryn,43.16512263,-81.13769531,,
Snakewood,Vale_of_Arryn,41.80407814,-93.09082031,,
Longbow_Hall,Vale_of_Arryn,39.26628442,-86.93847656,,
Heart%27s_Home,Vale_of_Arryn,36.7036596,-99.06738281,,
Strongsong,Vale_of_Arryn,36.84446074,-108.9111328,,
Old_Anchor,Vale_of_Arryn,33.32134853,-87.72949219,,
Ironoaks,Vale_of_Arryn,32.21280107,-92.12402344,,
Runestone,Vale_of_Arryn,32.36140332,-83.07128906,,
Eyrie,Vale_of_Arryn,31.76553741,-102.4951172,,
Bloody_Gate,Vale_of_Arryn,29.87875535,-102.9345703,,
Redfort,Vale_of_Arryn,27.33273514,-95.81542969,,
Gulltown,Vale_of_Arryn,29.42046034,-84.21386719,,
Wickenden,Vale_of_Arryn,20.83827781,-96.07910156,,
Palisade_Village,Vale_of_Arryn,28.03319785,-111.9873047,,A_Storm_of_Swords-Chapter_65
Castle_Goodbrother,Iron_Islands,31.93351676,-153.4277344,,House_Goodbrother_of_Shatterstone
Nagga%27s_Hill,Iron_Islands,31.3723991,-154.2626953,,
Ten_Towers,Iron_Islands,31.3723991,-144.4628906,,
Hammerhorn,Iron_Islands,30.4676141,-156.1962891,,
Pebbleton,Iron_Islands,29.55434513,-152.5927734,,
Pyke,Iron_Islands,27.74188463,-150.6152344,,
Saltpans,Riverlands,20.92039691,-105.4833984,,
Quiet_Isle,Riverlands,20.28280869,-105.3295898,,
Maidenpool,Riverlands,17.64402203,-101.7480469,,
Twins,Riverlands,38.59970037,-128.7304688,,
Seagard,Riverlands,35.19176697,-129.2578125,,
Oldstones,Riverlands,30.92107638,-126.4013672,,
Fairmarket,Riverlands,29.17134885,-122.578125,,
Crossroads_Inn,Riverlands,23.42292846,-112.6904297,,
Riverrun,Riverlands,22.28909642,-128.2910156,,
Stone_Hedge,Riverlands,22.0856399,-120.9521484,,
Darry,Riverlands,21.84110475,-112.4707031,,
Raventree_Hall,Riverlands,19.91138351,-118.6669922,,
Stone_Mill,Riverlands,18.79191774,-128.7304688,,
High_Heart,Riverlands,18.45876812,-124.6435547,,
Acorn_Hall,Riverlands,16.84660511,-125.5224609,,
Harrenhal,Riverlands,18.25021998,-114.4042969,,
Rushing_Falls,Riverlands,16.53089842,-116.3378906,,
Pinkmaiden_Castle,Riverlands,15.4748574,-129.609375,,
Wayfarer%27s_Rest,Riverlands,16.86763362,-133.4765625,,
Wendish_Town,Riverlands,13.38961959,-131.2792969,,
Mummer%27s_Ford,Riverlands,13.94472997,-130.6201172,,
Sherrer,Riverlands,13.17577122,-130.5322266,,
Tumbler%27s_Falls,Riverlands,12.49021366,-123.1054688,,
Hollow_Hill,Riverlands,11.28616077,-128.1152344,,Brotherhood_Without_Banners
Stoney_Sept,Riverlands,9.817329187,-125.6542969,,
Robbed_Sept,Riverlands,13.02596593,-126.7089844,,A_Storm_of_Swords-Chapter_39
Gods_Eye_Holdfast,Riverlands,11.00590446,-114.7998047,,A_Clash_of_Kings-Chapter_14
Gods_Eye_Village,Riverlands,13.15437606,-111.5478516,,A_Clash_of_Kings-Chapter_19
Banefort,Westerlands,24.60706914,-147.3632813,,
Nunn%27s_Deep,Westerlands,22.22809042,-141.9580078,,
The_Crag,Westerlands,19.80805413,-147.4072266,,
Pendric_Hills,Westerlands,19.60119416,-144.375,,
Ashemark,Westerlands,16.84660511,-144.5068359,,
Castamere,Westerlands,15.66535418,-147.3193359,,
Faircastle,Westerlands,14.3069695,-152.7246094,,
Golden_Tooth,Westerlands,14.17918614,-138.6621094,,
Sarsfield,Westerlands,10.96276426,-145.1660156,,
Oxcross,Westerlands,9.145486056,-148.5058594,,
Hornvale,Westerlands,9.058702156,-137.0361328,,
Kayce,Westerlands,7.49319647,-156.7675781,,
Feastfires,Westerlands,5.397273408,-157.7783203,,
Casterly_Rock,Westerlands,6.315298538,-151.3623047,,
Deep_Den,Westerlands,5.572249801,-136.2451172,,
Tarbeck_Hall,Westerlands,1.669685501,-152.6367188,,
Clegane%27s_Keep,Westerlands,1.801460929,-144.4189453,,
Silverhill,Westerlands,0.263670944,-138.3544922,,
Cornfield,Westerlands,-2.767477951,-146.8798828,,
Crakehall,Westerlands,-4.959615025,-154.5703125,,
Dragonstone,Crownlands,13.19716452,-85.53222656,,
Dyre_Den,Crownlands,21.20745873,-87.15820313,,
Whispers,Crownlands,18.52128333,-84.60937,,
Rook%27s_Rest,Crownlands,14.09395718,-94.27734375,,
Antlers,Crownlands,14.22178863,-103.8574219,,
Ivy_Inn,Crownlands,10.22843727,-108.1201172,,A_Clash_of_Kings-Chapter_5
Sow%27s_Horn,Crownlands,10.83330598,-106.7138672,,
Duskendale,Crownlands,8.624472108,-98.80371094,,
Brindlewood,Crownlands,7.44962426,-107.5488281,,
Stokeworth,Crownlands,5.747174077,-103.9453125,,
Rosby,Crownlands,3.995780513,-102.4951172,,
Hayford,Crownlands,3.469557303,-106.9775391,,
King%27s_Landing,Crownlands,1.318243057,-105.9960938,,
Stonedance,Crownlands,5.309766172,-86.015625,,
Sharp_Point,Crownlands,8.32021229,-87.59765625,,
Tumbleton,The_Reach,-4.784468967,-114.7998047,,
Red_Lake,The_Reach,-8.146242825,-145.9130859,,
Goldengrove,The_Reach,-10.96276426,-138.1787109,,
Bitterbridge,The_Reach,-11.04903835,-124.0283203,,
Old_Oak,The_Reach,-14.51978005,-151.4941406,,
Longtable,The_Reach,-14.68988137,-125.2587891,,
Grassy_Vale,The_Reach,-13.06877673,-113.4375,,
Cider_Hall,The_Reach,-18.60460139,-129.7412109,,
Ashford,The_Reach,-20.59165212,-123.0615234,,
Highgarden,The_Reach,-23.96617587,-138.3544922,,
Bandallon,The_Reach,-29.53522956,-154.8339844,,
Brightwater_Keep,The_Reach,-29.99300228,-149.2529297,,
Horn_Hill,The_Reach,-29.72622232,-138.0029297,,
Honeyholt,The_Reach,-32.99023556,-148.2861328,,
Oldtown,The_Reach,-36.6331621,-149.8681641,,
Blackcrown,The_Reach,-38.71980474,-155.3613281,,
Uplands,The_Reach,-37.40507375,-141.4746094,,
Three_Towers,The_Reach,-41.11246879,-152.8125,,
